train_ssim,train_l1_loss,valid_ssim,valid_l1_loss,test_ssim,test_l1_loss,time_elapsed,file_id
0.614080011844635,0.1476152241230011,0.6472733020782471,0.13525043427944183,0.6615604162216187,0.1332620531320572,39051.0,0
0.6117172837257385,0.14095430076122284,0.6223167777061462,0.13027043640613556,0.63994961977005,0.13433660566806793,41817.0,1
0.6129864454269409,0.1395668238401413,0.6369936466217041,0.11219914257526398,0.6529207229614258,0.11025504022836685,45553.0,2
0.5998464822769165,0.14315573871135712,0.6194891929626465,0.13356482982635498,0.6389282941818237,0.1277320683002472,46763.0,3
0.5965940952301025,0.149453803896904,0.619699239730835,0.13310708105564117,0.6393863558769226,0.12760676443576813,39288.0,4
0.6357921361923218,0.14451169967651367,0.6716930270195007,0.1283489316701889,0.6869085431098938,0.12977637350559235,39285.0,5
0.5966570973396301,0.14592571556568146,0.6368065476417542,0.16989177465438843,0.6527929902076721,0.1697148084640503,42552.0,6
0.6118250489234924,0.14351889491081238,0.6491994857788086,0.13661988079547882,0.6666432619094849,0.13087929785251617,44942.0,7
0.6116268038749695,0.1477670669555664,0.6189210414886475,0.14790761470794678,0.6386886239051819,0.14485785365104675,38146.0,8
0.5976312160491943,0.14694702625274658,0.6134297847747803,0.1452549695968628,0.6302006244659424,0.14232346415519714,38575.0,9
0.6284902691841125,0.15212935209274292,0.6579813957214355,0.1352711021900177,0.6737480759620667,0.13187915086746216,40349.0,10
0.6139466762542725,0.14531075954437256,0.6365993618965149,0.13441693782806396,0.6536579728126526,0.13425534963607788,42317.0,11
0.6261687874794006,0.14931602776050568,0.660241961479187,0.13500888645648956,0.6746167540550232,0.1315688043832779,36923.0,12
0.6179762482643127,0.14755389094352722,0.6269496083259583,0.13347792625427246,0.6457291841506958,0.12789422273635864,38156.0,13
0.5961031317710876,0.14748436212539673,0.6128911375999451,0.13296842575073242,0.6347053050994873,0.129983589053154,39174.0,14
0.6523066163063049,0.1386757344007492,0.6913388967514038,0.11557174474000931,0.7048463821411133,0.12978844344615936,39579.0,15
0.5590535998344421,0.16403497755527496,0.5638090372085571,0.14380255341529846,0.5770930051803589,0.13775452971458435,19249.0,16
0.5652751922607422,0.16148385405540466,0.5986204743385315,0.15830281376838684,0.617365300655365,0.1646019071340561,19764.0,17
0.5613054633140564,0.1604328751564026,0.5867674946784973,0.1541394144296646,0.6030178070068359,0.1513340026140213,20112.0,18
0.5701817870140076,0.16523195803165436,0.5854228138923645,0.15157875418663025,0.6056791543960571,0.14785143733024597,21979.0,19
0.5762554407119751,0.16345113515853882,0.5935384631156921,0.1501682549715042,0.6126081347465515,0.14339792728424072,22236.0,20
0.5394396781921387,0.16119220852851868,0.5606998801231384,0.15225043892860413,0.5793929100036621,0.15184453129768372,25165.0,21
0.5769364833831787,0.16461974382400513,0.592578649520874,0.14998769760131836,0.6129249930381775,0.14763766527175903,18368.0,22
0.5548915863037109,0.1696726232767105,0.5676895380020142,0.1471509486436844,0.5888670086860657,0.1461540162563324,18713.0,23
0.5556437969207764,0.17256489396095276,0.5899593234062195,0.147306427359581,0.6082410216331482,0.14320632815361023,19842.0,24
0.5742893218994141,0.1668281853199005,0.578539252281189,0.1465620994567871,0.5990394353866577,0.14005883038043976,19795.0,25
0.5781012177467346,0.159613698720932,0.597985565662384,0.14293378591537476,0.6158657073974609,0.13511613011360168,20170.0,26
